jgagnant,tropheesg,cg1,cg2,cg3,cg4,cg5,cg6,cg7,cg8,jperdant,tropheesp,cp1,cp2,cp3,cp4,cp5,cp6,cp7,cp8
#UQU9VQP0C,7030,Royal Hogs,Cannon,Archer Queen,Skeletons,The Log,Royal Delivery,Earthquake,Ice Spirit,#20JYQQRLYP,7049,Inferno Dragon,Elite Barbarians,Electro Dragon,Elixir Golem,Battle Healer,Arrows,Rage,Zap
#UQU9VQP0C,7000,Royal Hogs,Cannon,Archer Queen,Skeletons,The Log,Royal Delivery,Earthquake,Ice Spirit,#RG9QJQRU9,7000,Witch,Royal Hogs,Mega Knight,The Log,Inferno Dragon,Skeleton King,Electro Spirit,Royal Ghost
#VGQ0ULJVP,7018,Skeletons,Barbarians,Goblin Barrel,Royal Delivery,Witch,Golden Knight,Cannon,The Log,#UQU9VQP0C,7013,Royal Hogs,Cannon,Archer Queen,Skeletons,The Log,Royal Delivery,Earthquake,Ice Spirit
#GG2YVYJL2,7054,Wizard,P.E.K.K.A,Zap,Electro Wizard,Skeleton Army,Mega Knight,Tornado,Rage,#UQU9VQP0C,7041,Royal Hogs,Cannon,Archer Queen,Skeletons,The Log,Royal Delivery,Earthquake,Ice Spirit
#UQU9VQP0C,7013,Royal Hogs,Cannon,Archer Queen,Skeletons,The Log,Royal Delivery,Earthquake,Ice Spirit,#G8QQG8U2C,7000,Skeleton Barrel,Goblin Gang,Bats,Skeleton King,Mortar,Cannon Cart,Ice Wizard,Arrows
#GCQJR8RY,7050,Knight,Witch,Inferno Tower,Elixir Golem,Arrows,Archers,Freeze,Zappies,#UQU9VQP0C,7042,Royal Hogs,Cannon,Archer Queen,Skeletons,The Log,Royal Delivery,Earthquake,Ice Spirit
#209QLPL8CP,7088,Mega Knight,Balloon,Inferno Dragon,Goblin Barrel,Tombstone,Bomber,Zap,Skeletons,#UQU9VQP0C,7070,Skeletons,Skeleton Barrel,Guards,Graveyard,Skeleton Army,Giant Skeleton,Tombstone,Skeleton King
#UQU9VQP0C,7070,Royal Hogs,Earthquake,Golden Knight,Hog Rider,Giant Snowball,Inferno Tower,Rascals,Freeze,#C0CGY0LGL,9087,Monk,Cannon,Fireball,Ice Spirit,Goblin Cage,Minions,Witch,Goblin Barrel
#C0CGY0LGL,9087,Skeleton King,Royal Recruits,Royal Hogs,Royal Delivery,Guards,Royal Giant,Princess,Prince,#UQU9VQP0C,7070,Skeletons,Skeleton Barrel,Guards,Graveyard,Skeleton Army,Giant Skeleton,Tombstone,Skeleton King
#UQU9VQP0C,7041,Royal Hogs,Cannon,Archer Queen,Skeletons,The Log,Royal Delivery,Earthquake,Ice Spirit,#UYVYGQ0QJ,7039,Firecracker,Barbarians,Knight,Baby Dragon,Zap,Witch,Hog Rider,Skeleton Army
