jgagnant,tropheesg,cg1,cg2,cg3,cg4,cg5,cg6,cg7,cg8,jperdant,tropheesp,cp1,cp2,cp3,cp4,cp5,cp6,cp7,cp8
#U8JJ2RYGQ,9237,P.E.K.K.A,Wizard,Tesla,Battle Ram,Bats,Vines,Arrows,Ice Spirit,#LQVYQYVJ,9241,Knight,Bats,Tombstone,Firecracker,Barbarian Barrel,Hog Rider,Valkyrie,Zap
#VUUCQC2GJ,9287,P.E.K.K.A,Firecracker,Elite Barbarians,Minions,Rage,Guards,Electro Wizard,The Log,#LQVYQYVJ,9269,Knight,Bats,Tombstone,Firecracker,Barbarian Barrel,Hog Rider,Valkyrie,Zap
#LQVYQYVJ,9241,Knight,Bats,Tombstone,Firecracker,Barbarian Barrel,Hog Rider,Valkyrie,Zap,#P9RRLRGQC,9226,Lumberjack,Goblin Barrel,Musketeer,Fireball,Wizard,Elite Barbarians,Witch,Valkyrie
#LQVYQYVJ,9213,Knight,Bats,Tombstone,Firecracker,Barbarian Barrel,Hog Rider,Valkyrie,Zap,#VLY8RRL2,9194,Dart Goblin,Firecracker,The Log,Golden Knight,Sparky,Hog Rider,Goblin Gang,Knight
#LGCC28JU2,9242,Giant Snowball,Valkyrie,Cannon,Mini P.E.K.K.A,Hog Rider,Dart Goblin,Witch,Vines,#LQVYQYVJ,9243,Knight,Bats,Tombstone,Firecracker,Barbarian Barrel,Hog Rider,Valkyrie,Ice Spirit
#JQU8UUYC8,9273,Royal Giant,Firecracker,Royal Ghost,Tombstone,Electro Spirit,The Log,Void,Archer Queen,#LQVYQYVJ,9273,Knight,Bats,Tombstone,Firecracker,Barbarian Barrel,Hog Rider,Valkyrie,Ice Spirit
#UUL8L2VJ,9298,Hog Rider,Valkyrie,Wizard,Goblin Gang,Skeleton Army,Arrows,The Log,Electro Wizard,#LQVYQYVJ,9303,Knight,Bats,Tombstone,Firecracker,Barbarian Barrel,Goblin Barrel,Valkyrie,Skeleton Barrel
#LQVYQYVJ,9273,Knight,Bats,Tombstone,Firecracker,Barbarian Barrel,Goblin Barrel,Valkyrie,Skeleton Barrel,#VUQP9V8,9274,Fireball,Dart Goblin,The Log,Miner,Goblin Demolisher,Elite Barbarians,Bats,Witch
#LQVYQYVJ,9244,Knight,Bats,Tombstone,Firecracker,Barbarian Barrel,Goblin Barrel,Valkyrie,Skeleton Barrel,#QV8RLY2JV,9238,Wizard,Valkyrie,Firecracker,Minion Horde,Skeleton Army,Fireball,Hog Rider,Bandit
#LQVYQYVJ,9213,Knight,Bats,Tombstone,Firecracker,Barbarian Barrel,Goblin Barrel,Valkyrie,Skeleton Barrel,#90QU2LG2,9234,Ice Spirit,Firecracker,P.E.K.K.A,Sparky,Freeze,Wizard,Electro Wizard,Fireball
#LQVYQYVJ,9183,Knight,Bats,Tombstone,Firecracker,Barbarian Barrel,Goblin Barrel,Valkyrie,Skeleton Barrel,#ULVGLU202,9183,Mega Knight,Wizard,Firecracker,Dart Goblin,Inferno Tower,Archers,Princess,Boss Bandit
#LQVYQYVJ,9154,Knight,Bats,Tombstone,Firecracker,Barbarian Barrel,Goblin Barrel,Valkyrie,Skeleton Barrel,#RJPJV90GC,9152,P.E.K.K.A,Firecracker,Tesla,Goblin Barrel,Mini P.E.K.K.A,Arrows,Magic Archer,Royal Ghost
#UU0PQ292G,9185,Tesla,Firecracker,Mega Knight,The Log,Goblin Barrel,Boss Bandit,Royal Ghost,Skeleton Army,#LQVYQYVJ,9183,Knight,Bats,Tombstone,Firecracker,Barbarian Barrel,Goblin Barrel,Valkyrie,Skeleton Barrel
#LQVYQYVJ,9154,Knight,Bats,Tombstone,Firecracker,Barbarian Barrel,Goblin Barrel,Valkyrie,Skeleton Barrel,#2J8RRUUQ2,9153,Skeleton Army,Furnace,P.E.K.K.A,Rage,Vines,Electro Spirit,Wizard,Mirror
#LQVYQYVJ,9124,Knight,Bats,Tombstone,Firecracker,Barbarian Barrel,Goblin Barrel,Valkyrie,Skeleton Barrel,#LJCP8RVQ2,9133,P.E.K.K.A,Minions,Baby Dragon,Dart Goblin,The Log,Zap,Goblin Gang,Bandit
#LQVYQYVJ,9093,Knight,Bats,Tombstone,Firecracker,Barbarian Barrel,Goblin Barrel,Valkyrie,Skeleton Barrel,#VJLR8RVP2,9113,Mega Knight,Wizard,Knight,Valkyrie,Witch,Mini P.E.K.K.A,Inferno Tower,Arrows
#LQVYQYVJ,9064,Knight,Bats,Tombstone,Firecracker,Barbarian Barrel,Goblin Barrel,Valkyrie,Skeleton Barrel,#9PLCU090J,9060,Lumberjack,Goblin Giant,Tombstone,Princess,Giant Snowball,Mega Minion,Knight,Bomber
#LQVYQYVJ,9034,Knight,Bats,Tombstone,Firecracker,Barbarian Barrel,Goblin Barrel,Valkyrie,Skeleton Barrel,#QP9P20UJG,9043,Mortar,Knight,Furnace,The Log,Goblin Barrel,Goblin Gang,Ice Spirit,Rocket
#Q8GCGYU8J,9061,Skeletons,Royal Giant,Dark Prince,The Log,Fisherman,Ice Spirit,Mother Witch,Zappies,#LQVYQYVJ,9064,Knight,Bats,Tombstone,Firecracker,Barbarian Barrel,Fireball,Valkyrie,Skeleton Barrel
#LQVYQYVJ,9033,Knight,Bats,Tombstone,Firecracker,Barbarian Barrel,Fireball,Valkyrie,Skeleton Barrel,#VYRJRCLRY,9051,Skeleton Barrel,Mortar,Dart Goblin,Goblin Gang,Bats,Skeleton King,Arrows,Spirit Empress
#88C9LR0,9041,P.E.K.K.A,Executioner,Mega Minion,Lightning,Ram Rider,The Log,Electro Wizard,Goblins,#LQVYQYVJ,9065,Knight,Bats,Tombstone,Firecracker,Barbarian Barrel,Elixir Collector,Valkyrie,Skeleton Barrel
#VPYLUQGUR,9081,Mega Knight,Cannon,Hog Rider,Musketeer,The Log,Skeletons,Ice Golem,Ice Spirit,#LQVYQYVJ,9096,Knight,Bats,Tombstone,Firecracker,Barbarian Barrel,Mirror,Valkyrie,Skeleton Barrel
#80V9CQY2,9106,Miner,Bats,Tesla,Wall Breakers,Rocket,The Log,Executioner,Knight,#LQVYQYVJ,9127,Knight,Bats,Tombstone,Firecracker,Barbarian Barrel,Mirror,Valkyrie,Skeleton Barrel
#RVUQU9Q8L,9165,Firecracker,Tesla,Zap,Magic Archer,P.E.K.K.A,Battle Ram,Mini P.E.K.K.A,Fireball,#LQVYQYVJ,9156,Knight,Bats,Tombstone,Firecracker,Barbarian Barrel,Mirror,Valkyrie,Skeleton Barrel
#9CVLV2VUV,9182,Wall Breakers,Witch,Goblin Barrel,Dart Goblin,Mini P.E.K.K.A,Archers,Cannon,Arrows,#LQVYQYVJ,9186,Knight,Bats,Tombstone,Firecracker,Barbarian Barrel,Fireball,Valkyrie,Skeleton Barrel
#LQVYQYVJ,9156,Knight,Bats,Tombstone,Firecracker,Barbarian Barrel,Fireball,Valkyrie,Skeleton Barrel,#UQYCPRRL,9156,Wizard,Mega Knight,Minion Horde,Witch,Barbarians,Firecracker,Elite Barbarians,Elixir Golem
#LQVYQYVJ,9126,Knight,Bats,Tombstone,Firecracker,Barbarian Barrel,Fireball,Valkyrie,Skeleton Barrel,#P8LCCC2,9136,Skeleton Army,Executioner,Knight,Elite Barbarians,Archers,Hog Rider,Skeleton King,The Log
#U0P2GG9CQ,9156,P.E.K.K.A,Firecracker,Goblin Barrel,Goblin Gang,Hunter,Fireball,The Log,Golden Knight,#LQVYQYVJ,9156,Knight,Bats,Tombstone,Firecracker,Barbarian Barrel,Ice Spirit,Valkyrie,Skeleton Barrel
#CLQYUG2U0,9185,Mega Knight,Baby Dragon,Knight,Hog Rider,Giant Snowball,Skeletons,Witch,Cannon,#LQVYQYVJ,9186,Knight,Bats,Tombstone,Firecracker,Barbarian Barrel,Hog Rider,Valkyrie,Zap
#8L2P89QU8,9228,Firecracker,Dart Goblin,Tesla,Valkyrie,Goblin Gang,The Log,Goblin Barrel,Giant,#LQVYQYVJ,9214,Knight,Bats,Tombstone,Firecracker,Barbarian Barrel,Hog Rider,Valkyrie,Electro Dragon
#JGQLGVJUG,1,Valkyrie,Firecracker,Poison,Skeletons,Ice Spirit,The Log,Hog Rider,Cannon,#Q8RLLCPL0,1,Inferno Dragon,Arrows,Lightning,Lava Hound,Tombstone,Mega Minion,Guards,Balloon
#VVPJPGLYJ,1,Firecracker,Witch,Knight,Mega Knight,The Log,Hog Rider,Bats,P.E.K.K.A,#Q8RLLCPL0,1,Inferno Dragon,Arrows,Lightning,Lava Hound,Tombstone,Mega Minion,Guards,Balloon
#289C2RRL8,3,P.E.K.K.A,Royal Ghost,Lightning,Vines,Tesla,Mega Knight,Prince,Golden Knight,#Q8RLLCPL0,3,Musketeer,Skeletons,Balloon,Miner,Ice Golem,Barbarian Barrel,Giant Snowball,Bomb Tower
#82L9GQPC,9211,Witch,Mega Knight,Archers,Fireball,Zap,Minions,Tesla,The Log,#Q8RLLCPL0,9227,Inferno Dragon,Arrows,Lightning,Lava Hound,Tombstone,Mega Minion,Guards,Balloon
#L8C20092U,9271,P.E.K.K.A,Firecracker,The Log,Inferno Tower,Witch,Goblin Gang,Golden Knight,Electro Wizard,#Q8RLLCPL0,9255,Inferno Dragon,Arrows,Lightning,Lava Hound,Tombstone,Mega Minion,Guards,Balloon
#Q8RLLCPL0,9255,The Log,Goblin Barrel,Wall Breakers,Barbarian Barrel,Cannon,Hunter,Boss Bandit,Miner,#RY8QJ8CGP,3335,Royal Giant,Fisherman,Guards,Magic Archer,Rascals,Furnace,Golden Knight,Freeze
#Q8RLLCPL0,9255,Hog Rider,Skeletons,Inferno Dragon,Poison,Rage,Royal Delivery,Elite Barbarians,Ice Wizard,#RY8QJ8CGP,3335,Golem,Skeleton Army,Electro Wizard,Freeze,Bandit,The Log,Furnace,Minions
#9PR922VR9,3,Knight,Cannon,Graveyard,Poison,Goblinstein,Guards,Barbarian Barrel,Ice Wizard,#Q8RLLCPL0,3,Musketeer,Skeletons,Balloon,Miner,Ice Golem,Barbarian Barrel,Giant Snowball,Bomb Tower
#Q8RLLCPL0,2,Musketeer,Skeletons,Balloon,Miner,Ice Golem,Barbarian Barrel,Giant Snowball,Bomb Tower,#LRP28Y2PQ,2,Goblin Cage,Royal Recruits,Zappies,Flying Machine,Royal Hogs,Fireball,Arrows,Barbarian Barrel
#Q8RLLCPL0,1,Musketeer,Skeletons,Balloon,Miner,Ice Golem,Barbarian Barrel,Giant Snowball,Bomb Tower,#U8JP9RC88,1,Cannon,Wall Breakers,The Log,Goblin Drill,Fire Spirit,Mighty Miner,Fireball,Skeletons
#P0CUJPUP9,9308,Goblin Barrel,Tesla,Princess,Skeletons,Knight,The Log,Dart Goblin,Mini P.E.K.K.A,#Q8RLLCPL0,9282,Inferno Dragon,Arrows,Lightning,Lava Hound,Tombstone,Mega Minion,Guards,Balloon
#Q8RLLCPL0,9251,Inferno Dragon,Arrows,Lightning,Lava Hound,Tombstone,Mega Minion,Guards,Balloon,#2VC0Q8R89,9268,Valkyrie,Tesla,The Log,Rocket,Dart Goblin,Ice Spirit,Skeletons,Goblin Barrel
#Q8RLLCPL0,9221,Inferno Dragon,Arrows,Lightning,Lava Hound,Tombstone,Mega Minion,Guards,Balloon,#UG0Q9982V,9224,Firecracker,Mini P.E.K.K.A,Dart Goblin,Mega Knight,Wizard,Witch,Rage,Elite Barbarians
#Q8RLLCPL0,9191,Inferno Dragon,Arrows,Lightning,Lava Hound,Tombstone,Mega Minion,Guards,Balloon,#VYG880CPC,9194,P.E.K.K.A,Battle Ram,Electro Wizard,Bandit,Royal Ghost,Fireball,Zap,Spirit Empress
#UQVRPJY9L,9223,Mega Knight,Firecracker,Dart Goblin,Witch,Prince,Elite Barbarians,Goblin Gang,Arrows,#Q8RLLCPL0,9220,Inferno Dragon,Arrows,Lightning,Lava Hound,Tombstone,Mega Minion,Guards,Balloon
#URVJVVGQG,9215,Skeleton Army,Firecracker,Wizard,Guards,Royal Giant,Skeleton King,The Log,Valkyrie,#Q8RLLCPL0,9253,Inferno Dragon,Arrows,Lightning,Lava Hound,Tombstone,Mega Minion,Guards,Balloon
#Q8RLLCPL0,9224,Inferno Dragon,Arrows,Lightning,Lava Hound,Tombstone,Mega Minion,Guards,Balloon,#UV09PYLCU,9220,Firecracker,Giant Snowball,Ice Spirit,The Log,Wall Breakers,Goblin Barrel,Goblin Gang,Valkyrie
#JRQ0L2QQG,9251,Mega Knight,Tesla,Witch,Arrows,Boss Bandit,Firecracker,Bats,The Log,#Q8RLLCPL0,9254,Inferno Dragon,Arrows,Lightning,Lava Hound,Tombstone,Mega Minion,Guards,Balloon
#Q8RLLCPL0,9224,Inferno Dragon,Arrows,Lightning,Lava Hound,Tombstone,Mega Minion,Guards,Balloon,#2RG2L8J9G,9228,Archers,Wall Breakers,Skeleton Army,Skeletons,Earthquake,Skeleton King,Ice Spirit,Goblin Barrel
#Q8RLLCPL0,9194,Inferno Dragon,Arrows,Lightning,Lava Hound,Tombstone,Mega Minion,Guards,Balloon,#VRU2YQJVU,9205,Inferno Dragon,Barbarians,Mini P.E.K.K.A,Prince,Goblin Gang,Rage,Vines,Arrows
#YL980992V,7631,Fireball,Night Witch,Ram Rider,Baby Dragon,Giant,Ice Golem,Monk,Inferno Tower,#20P8G8V09Q,6301,Tesla,Golden Knight,Guards,Balloon,Hunter,Wall Breakers,Royal Recruits,Clone
#20P8G8V09Q,6301,Cannon,Royal Delivery,Dart Goblin,Bomb Tower,Skeleton Army,Goblin Barrel,Royal Ghost,Electro Giant,#YL980992V,7631,Witch,Battle Ram,Mini P.E.K.K.A,Arrows,Fisherman,The Log,Little Prince,Electro Dragon
#20P8G8V09Q,6301,Cannon,Minion Horde,Barbarian Barrel,Little Prince,Bomb Tower,Dart Goblin,X-Bow,Goblin Gang,#YL980992V,7631,Tesla,Hunter,Void,Golden Knight,Balloon,Royal Ghost,Guards,Lava Hound
#20P8G8V09Q,6301,Tesla,Knight,Ice Wizard,Royal Delivery,Hog Rider,Fireball,Skeleton Barrel,Cannon,#YL980992V,7631,Archer Queen,Ram Rider,Earthquake,Valkyrie,Phoenix,Princess,Skeletons,Fire Spirit
#YL980992V,7631,Hunter,Skeleton Barrel,Furnace,Barbarian Barrel,Mortar,Freeze,Flying Machine,Bandit,#20P8G8V09Q,6301,Baby Dragon,Goblin Gang,Cannon,Tornado,Hog Rider,Fireball,Dart Goblin,Sparky
#20P8G8V09Q,6181,Inferno Tower,Wizard,Flying Machine,Goblin Gang,Dark Prince,Goblin Barrel,Fireball,Void,#YL980992V,7631,Barbarians,Electro Wizard,Ice Wizard,Skeleton Barrel,Fisherman,Balloon,Poison,Arrows
#YL980992V,7631,Tesla,Archer Queen,Electro Dragon,Giant Snowball,Royal Hogs,Zap,Musketeer,Goblin Machine,#20P8G8V09Q,6297,Elite Barbarians,Valkyrie,Princess,Bomb Tower,Royal Delivery,Mini P.E.K.K.A,Bats,Skeleton Army
#YL980992V,7631,Mini P.E.K.K.A,Skeleton Army,Electro Wizard,Fisherman,Freeze,The Log,Royal Hogs,Ice Wizard,#20P8G8V09Q,6297,P.E.K.K.A,Skeletons,Baby Dragon,Prince,Poison,Barbarian Barrel,Battle Ram,Dart Goblin
#20P8G8V09Q,6297,Witch,Cannon,The Log,Ice Wizard,Knight,Hog Rider,Fireball,Skeletons,#YL980992V,7631,Fireball,Archers,Knight,Minions,Hog Rider,Ice Wizard,Zap,Skeletons
#YL980992V,7631,Goblin Drill,Witch,Royal Hogs,Archer Queen,Rascals,The Log,Goblin Giant,Skeletons,#20P8G8V09Q,6297,Guards,Golem,Clone,Mega Knight,Goblinstein,Hog Rider,Spear Goblins,X-Bow
#YL980992V,7631,Rune Giant,Executioner,Witch,Bomb Tower,Goblins,Goblin Drill,Goblin Curse,Flying Machine,#20P8G8V09Q,6297,Dark Prince,The Log,Skeleton Barrel,Fire Spirit,Inferno Dragon,Magic Archer,Night Witch,Goblin Giant
#20P8G8V09Q,6297,Mirror,Miner,Graveyard,Musketeer,Dark Prince,Bomber,Ice Golem,Fireball,#YL980992V,7631,Mirror,Miner,Graveyard,Musketeer,Dark Prince,Bomber,Ice Golem,Fireball
#YL980992V,7631,P.E.K.K.A,Minions,Battle Ram,Electro Wizard,Dark Prince,Bandit,Zap,Poison,#20P8G8V09Q,6297,Electro Giant,Goblin Drill,Dark Prince,Bomber,Lightning,Tornado,Mother Witch,Inferno Dragon
#YL980992V,7631,Wall Breakers,Witch,Baby Dragon,Poison,Elite Barbarians,Ram Rider,Lumberjack,Mother Witch,#20P8G8V09Q,6297,Witch,Cannon,The Log,Ice Wizard,Knight,Hog Rider,Fireball,Skeletons
#20P8G8V09Q,6297,Tesla,Boss Bandit,Goblin Hut,Royal Delivery,Ice Spirit,Balloon,Knight,Goblin Barrel,#YL980992V,7631,Witch,Arrows,Elite Barbarians,Sparky,Baby Dragon,Cannon,Hunter,Miner
#20P8G8V09Q,6297,Dark Prince,Royal Hogs,Witch,Archers,Fireball,Elite Barbarians,Barbarian Barrel,Goblin Gang,#YL980992V,7631,Royal Ghost,Graveyard,Electro Wizard,Minions,Freeze,Tesla,Zap,Heal Spirit
#PG8C8QY2U,7285,Inferno Dragon,Valkyrie,Princess,Barbarian Barrel,Goblinstein,Wizard,Goblin Barrel,Rage,#20J9C0VRJ8,7285,Royal Recruits,Zappies,Flying Machine,Royal Hogs,Golden Knight,Goblin Cage,Arrows,Barbarian Barrel
#PG8C8QY2U,7255,Inferno Dragon,Valkyrie,Princess,Barbarian Barrel,Goblinstein,Wizard,Goblin Barrel,Rage,#VPL0QGRGG,7255,Golem,Bomber,Lumberjack,Mega Minion,Elite Barbarians,Night Witch,Arrows,Zap
#PG8C8QY2U,7225,Inferno Dragon,Valkyrie,Princess,Barbarian Barrel,Goblinstein,Wizard,Goblin Barrel,Rage,#VPYRUJ29G,7225,Witch,Skeleton Barrel,Skeleton Army,Giant Skeleton,Flying Machine,Firecracker,Arrows,Clone
#PG8C8QY2U,7195,Inferno Dragon,Valkyrie,Princess,Barbarian Barrel,Goblinstein,Wizard,Goblin Barrel,Rage,#VPYJ9J9LV,7195,Baby Dragon,Giant Skeleton,Royal Giant,Guards,Bowler,Mega Minion,Skeleton Barrel,Wall Breakers
#UYYC928PC,7218,Mega Knight,Bomber,The Log,Guards,Minions,Goblin Gang,Tesla,Wall Breakers,#PG8C8QY2U,7225,Inferno Dragon,Valkyrie,Princess,Barbarian Barrel,Goblinstein,Wizard,Goblin Barrel,Rage
#UYJ8PU0GY,7258,Mega Knight,Tesla,Electro Spirit,The Log,Mini P.E.K.K.A,Golden Knight,Witch,Skeletons,#PG8C8QY2U,7254,Inferno Dragon,Valkyrie,Princess,Barbarian Barrel,Goblinstein,Wizard,Goblin Barrel,Rage
#VY928CR0Y,7284,Mini P.E.K.K.A,Dark Prince,Sparky,Mega Minion,Goblin Giant,Mother Witch,Rage,Zap,#PG8C8QY2U,7284,Inferno Dragon,Valkyrie,Princess,Barbarian Barrel,Goblinstein,Wizard,Goblin Barrel,Rage
#VYR9L2QPJ,7314,Dark Prince,Sparky,Electro Wizard,Elite Barbarians,Goblin Giant,Rage,Zap,Heal Spirit,#PG8C8QY2U,7314,Inferno Dragon,Valkyrie,Princess,Barbarian Barrel,Goblinstein,Wizard,Goblin Barrel,Rage
#QYJL0J9GG,6903,Zap,Little Prince,Electro Wizard,Inferno Dragon,Bandit,Baby Dragon,Mini P.E.K.K.A,Mega Knight,#JV9J0P8C9,6910,Skeleton Army,Mega Knight,Dart Goblin,Minion Horde,Fireball,Cannon,Firecracker,Goblin Barrel
#V9YJRVC9U,6937,Inferno Dragon,Witch,Mini P.E.K.K.A,Zap,Mega Knight,Skeletons,Ice Spirit,Fireball,#QYJL0J9GG,6932,Zap,Little Prince,Electro Wizard,Inferno Dragon,Bandit,Baby Dragon,Mini P.E.K.K.A,Mega Knight
#PG0QRYYY,7000,Guards,P.E.K.K.A,Witch,Princess,Fire Spirit,Zap,Balloon,Archers,#QYJL0J9GG,6958,Zap,Little Prince,Electro Wizard,Inferno Dragon,Bandit,Baby Dragon,Mini P.E.K.K.A,Mega Knight
#QYJL0J9GG,6929,Zap,Little Prince,Electro Wizard,Inferno Dragon,Bandit,Baby Dragon,Mini P.E.K.K.A,Mega Knight,#2J0C9V22R,6919,Skeleton Army,Baby Dragon,Mini P.E.K.K.A,Wizard,Arrows,Prince,Miner,Ice Wizard
#QYJL0J9GG,6899,Zap,Little Prince,Electro Wizard,Inferno Dragon,Bandit,Baby Dragon,Mini P.E.K.K.A,Mega Knight,#2PGRQP8GR,6903,Witch,Golden Knight,Cannon,Giant Snowball,Royal Hogs,Skeleton Army,Fireball,Princess
#QYJL0J9GG,6870,Zap,Little Prince,Electro Wizard,Inferno Dragon,Bandit,Baby Dragon,Mini P.E.K.K.A,Mega Knight,#YPJLG0CRL,6863,Firecracker,Fireball,Tesla,Valkyrie,Skeletons,Hog Rider,Ice Spirit,The Log
#RJ0CRYC,6895,Wall Breakers,Wizard,Furnace,Skeleton Army,Royal Giant,Skeleton King,The Log,Tombstone,#QYJL0J9GG,6900,Zap,Little Prince,Electro Wizard,Inferno Dragon,Bandit,Baby Dragon,Mini P.E.K.K.A,Mega Knight
#QYJL0J9GG,6869,Zap,Little Prince,Electro Wizard,Inferno Dragon,Bandit,Baby Dragon,Mini P.E.K.K.A,Mega Knight,#20YJ8YRPJY,6882,Giant Snowball,Dart Goblin,Mini P.E.K.K.A,Mega Knight,Minions,Tesla,Hog Rider,Rocket
#QYJL0J9GG,6840,Zap,Little Prince,Electro Wizard,Inferno Dragon,Bandit,Baby Dragon,Mini P.E.K.K.A,Mega Knight,#8R0CUGGQQ,6833,Tesla,The Log,Ice Spirit,Dart Goblin,Royal Delivery,Wall Breakers,Miner,Dark Prince
#QYJL0J9GG,6811,Zap,Little Prince,Electro Wizard,Inferno Dragon,Bandit,Baby Dragon,Mini P.E.K.K.A,Mega Knight,#YJCQLYJJY,6802,P.E.K.K.A,Skeleton Army,Mini P.E.K.K.A,Tesla,The Log,Wizard,Wall Breakers,Mighty Miner
#CJ08L8GGC,6862,P.E.K.K.A,Magic Archer,Golden Knight,Arrows,Goblin Hut,Firecracker,Poison,Goblin Gang,#QYJL0J9GG,6838,Zap,Little Prince,Electro Wizard,Inferno Dragon,Bandit,Baby Dragon,Mini P.E.K.K.A,Mega Knight
#2028C8GPJC,6864,Skeleton Army,Tesla,Fireball,Vines,Mini P.E.K.K.A,Electro Wizard,The Log,Boss Bandit,#QYJL0J9GG,6868,Zap,Little Prince,Electro Wizard,Inferno Dragon,Bandit,Baby Dragon,Mini P.E.K.K.A,Mega Knight
#QYJL0J9GG,6836,Zap,Little Prince,Electro Wizard,Inferno Dragon,Bandit,Baby Dragon,Mini P.E.K.K.A,Mega Knight,#VCVCGJP0R,6869,P.E.K.K.A,Royal Ghost,Guards,Bandit,Firecracker,Battle Ram,Mother Witch,Golden Knight
#QYJL0J9GG,6808,Zap,Little Prince,Electro Wizard,Inferno Dragon,Bandit,Baby Dragon,Mini P.E.K.K.A,Mega Knight,#Y20C89J2Q,6795,Wizard,Mega Knight,Hog Rider,Arrows,Spirit Empress,Skeleton Army,Golden Knight,Prince
#QYJL0J9GG,6778,Zap,Little Prince,Electro Wizard,Inferno Dragon,Bandit,Baby Dragon,Mini P.E.K.K.A,Mega Knight,#V2Y89RQJL,6785,Tesla,Bats,Firecracker,Witch,Arrows,Hog Rider,Valkyrie,Mega Knight
#QYJL0J9GG,6748,Zap,Little Prince,Electro Wizard,Inferno Dragon,Bandit,Baby Dragon,Mini P.E.K.K.A,Mega Knight,#V2J9VQC92,6750,Mega Knight,Wizard,Goblin Barrel,Bandit,The Log,Mini P.E.K.K.A,Witch,Rage
#QYJL0J9GG,6719,Zap,Little Prince,Electro Wizard,Inferno Dragon,Bandit,Baby Dragon,Mini P.E.K.K.A,Mega Knight,#PYCQ2Q80J,6710,Cannon,Princess,Electro Wizard,Arrows,Mega Knight,Goblin Curse,Dart Goblin,Skeleton Army
#QYJL0J9GG,6690,Zap,Little Prince,Electro Wizard,Inferno Dragon,Bandit,Baby Dragon,Mini P.E.K.K.A,Mega Knight,#20LQ0LV9QU,6685,Witch,Mega Knight,Cannon,Arrows,Fireball,Ice Spirit,Mini P.E.K.K.A,Electro Spirit
#QYJL0J9GG,6660,Zap,Little Prince,Electro Wizard,Inferno Dragon,Bandit,Baby Dragon,Mini P.E.K.K.A,Mega Knight,#VPCRUG9JC,6660,P.E.K.K.A,Battle Ram,Electro Wizard,Bandit,Royal Ghost,Magic Archer,Zap,Poison
#QYJL0J9GG,6630,Zap,Little Prince,Electro Wizard,Inferno Dragon,Bandit,Baby Dragon,Mini P.E.K.K.A,Mega Knight,#VPQCCYPYR,6630,Archers,Royal Giant,Fisherman,Skeleton King,Mother Witch,Tombstone,Fireball,Barbarian Barrel
#QYJL0J9GG,6598,Zap,Little Prince,Electro Wizard,Inferno Dragon,Bandit,Baby Dragon,Mini P.E.K.K.A,Mega Knight,#VRC00UJJJ,6625,Valkyrie,Mega Knight,Electro Dragon,Goblin Barrel,Cannon,The Log,Rocket,Princess
#QYJL0J9GG,6568,Zap,Little Prince,Electro Wizard,Inferno Dragon,Bandit,Baby Dragon,Mini P.E.K.K.A,Mega Knight,#VPCVYPQL0,6578,Mini P.E.K.K.A,Dark Prince,Sparky,Mega Minion,Electro Wizard,Goblin Giant,Rage,Zap
#QYJL0J9GG,6537,Zap,Little Prince,Electro Wizard,Inferno Dragon,Bandit,Baby Dragon,Mini P.E.K.K.A,Mega Knight,#209UQLPVYP,6551,P.E.K.K.A,Battle Ram,Electro Wizard,Bandit,Royal Ghost,Magic Archer,Fireball,Zap
#QYJL0J9GG,6506,Zap,Little Prince,Electro Wizard,Inferno Dragon,Bandit,Baby Dragon,Mini P.E.K.K.A,Mega Knight,#VPCCQ9QUG,6523,P.E.K.K.A,Balloon,Ice Wizard,Lumberjack,Electro Dragon,Freeze,Tornado,Barbarian Barrel
#QYJL0J9GG,6476,Zap,Little Prince,Electro Wizard,Inferno Dragon,Bandit,Baby Dragon,Mini P.E.K.K.A,Mega Knight,#20Y2Q902YJ,6482,Archers,Royal Giant,Fisherman,Skeleton King,Mother Witch,Tombstone,Fireball,Barbarian Barrel
#QYJL0J9GG,6446,Zap,Little Prince,Electro Wizard,Inferno Dragon,Bandit,Baby Dragon,Mini P.E.K.K.A,Mega Knight,#209UQPL8QG,6446,Bandit,Bats,Royal Ghost,Ram Rider,Mega Knight,Archer Queen,Arrows,Lightning
#QYJL0J9GG,6416,Zap,Little Prince,Electro Wizard,Inferno Dragon,Bandit,Baby Dragon,Mini P.E.K.K.A,Mega Knight,#VYRYVYULL,6424,Witch,Mega Knight,Skeleton Army,Electro Wizard,Elite Barbarians,Firecracker,Battle Healer,Rage
#QYJL0J9GG,6386,Zap,Little Prince,Electro Wizard,Inferno Dragon,Bandit,Baby Dragon,Mini P.E.K.K.A,Mega Knight,#VYRG08QRG,6386,Giant,Minions,Witch,Guards,Bowler,Arrows,Graveyard,Giant Snowball
#898J9Y0Y,6208,Cannon,Boss Bandit,Goblin Barrel,The Log,Minion Horde,Prince,Furnace,Wizard,#VPYRQV8C0,6208,Prince,Bandit,Bats,Mega Knight,Wall Breakers,Firecracker,Arrows,Zap
#898J9Y0Y,6178,Cannon,Boss Bandit,Goblin Barrel,The Log,Minion Horde,Prince,Furnace,Wizard,#VPL8Q8JPU,6179,P.E.K.K.A,Balloon,Ice Wizard,Lumberjack,Electro Dragon,Freeze,Tornado,Barbarian Barrel
